City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Alexandria,EG,2022-01-30 16:10:10,31.2156,29.9553,56.91,47,97,13.31
170,Placido De Castro,BR,2022-01-30 16:15:01,-10.3353,-67.1856,72.86,99,100,2.06
171,Iwanai,JP,2022-01-30 16:15:02,42.9744,140.5089,18.59,65,100,9.82
172,Yaan,NG,2022-01-30 16:15:02,7.3833,8.5667,93.79,8,81,10.87
173,Vokhma,RU,2022-01-30 16:15:02,58.9303,46.7586,6.85,99,94,5.12
174,Pangnirtung,CA,2022-01-30 16:15:03,66.1451,-65.7125,-21.06,89,97,5.88
175,Nome,US,2022-01-30 16:15:03,64.5011,-165.4064,-4.9,77,0,0.0
176,Coahuayana,MX,2022-01-30 16:15:04,18.7333,-103.6833,83.68,35,0,2.24
177,Coquimbo,CL,2022-01-30 16:14:06,-29.9533,-71.3436,67.73,68,0,12.66
178,Mataura,NZ,2022-01-30 16:15:04,-46.1927,168.8643,59.49,99,48,2.1
179,Kautokeino,NO,2022-01-30 16:15:05,69.0125,23.0412,1.83,94,99,3.09
180,Obihiro,JP,2022-01-30 16:15:05,42.9172,143.2044,-0.87,92,24,3.33
181,Bereda,ES,2022-01-30 16:16:05,43.2686,-7.5406,58.57,70,4,3.4
182,Mandalgovi,MN,2022-01-30 16:16:06,45.7625,106.2708,0.1,77,6,14.12
183,Eregli,TR,2022-01-30 16:16:06,37.5133,34.0467,27.88,81,73,4.99
184,Chunoyar,RU,2022-01-30 16:16:07,57.4467,97.3217,1.56,99,99,0.2
185,Hilo,US,2022-01-30 16:16:07,19.7297,-155.09,66.79,79,0,6.91
186,Oranjemund,NA,2022-01-30 16:16:08,-28.55,16.4333,69.03,77,14,10.18
187,East London,ZA,2022-01-30 16:16:08,-33.0153,27.9116,77.94,78,0,17.27
188,Ushtobe,KZ,2022-01-30 16:16:09,45.2514,77.9838,25.32,96,80,4.07
189,Opuwo,NA,2022-01-30 16:16:09,-18.0607,13.84,82.69,21,59,21.03
190,Necochea,AR,2022-01-30 16:16:09,-38.5473,-58.7368,81.03,37,85,22.39
191,Ostrovnoy,RU,2022-01-30 16:16:10,68.0531,39.5131,2.61,98,87,7.96
192,Pedernales,DO,2022-01-30 16:16:10,18.0384,-71.744,81.1,65,2,7.74
193,Bartica,GY,2022-01-30 16:16:11,6.4,-58.6167,77.32,53,68,3.15
194,Severo-Kurilsk,RU,2022-01-30 16:16:12,50.6789,156.125,26.29,92,100,15.55
195,Asau,RO,2022-01-30 16:16:13,46.4333,26.4,39.4,79,47,18.59
196,Chadiza,ZM,2022-01-30 16:16:13,-14.0678,32.4392,67.62,95,45,2.95
197,Diamantino,BR,2022-01-30 16:16:13,-14.4086,-56.4461,77.07,87,100,10.6
198,Broome,US,2022-01-30 16:16:14,42.2506,-75.833,18.09,69,0,1.99
199,Kieta,PG,2022-01-30 16:16:14,-6.2167,155.6333,79.27,87,100,5.53
200,Altamont,US,2022-01-30 16:16:15,42.2068,-121.7372,26.78,80,0,0.0
201,Bubaque,GW,2022-01-30 16:16:15,11.2833,-15.8333,79.18,47,24,9.04
202,Pau Brasil,BR,2022-01-30 16:16:15,-15.4642,-39.6511,92.25,41,83,5.39
203,Salon-De-Provence,FR,2022-01-30 16:16:16,43.6407,5.0954,55.81,51,0,20.71
204,Mazamari,PE,2022-01-30 16:16:17,-11.3258,-74.5308,70.16,100,100,0.49
205,Tiksi,RU,2022-01-30 16:16:17,71.6872,128.8694,-16.11,100,76,4.27
206,Leningradskiy,RU,2022-01-30 16:15:09,69.3833,178.4167,-8.14,93,100,1.61
207,Pevek,RU,2022-01-30 16:16:18,69.7008,170.3133,-11.88,95,100,1.14
208,Cockburn Town,TC,2022-01-30 16:15:59,21.4612,-71.1419,74.53,78,64,18.01
209,Touros,BR,2022-01-30 16:16:18,-5.1989,-35.4608,88.7,61,23,15.84
210,Mogadishu,SO,2022-01-30 16:13:54,2.0371,45.3438,78.04,79,27,21.56
211,Healesville,AU,2022-01-30 16:15:29,-37.65,145.5167,69.96,99,16,1.43
212,Fairbanks,US,2022-01-30 16:16:09,64.8378,-147.7164,-27.44,69,0,0.0
213,Alta Floresta,BR,2022-01-30 16:16:20,-9.8756,-56.0861,72.45,96,100,5.7
214,Bowen,AU,2022-01-30 16:16:20,-20.0167,148.2333,77.99,86,36,9.95
215,Bara,NG,2022-01-30 16:16:21,10.3744,10.7288,85.69,11,90,12.62
216,Ola,RU,2022-01-30 16:16:22,59.5833,151.2833,7.2,79,100,11.07
217,Varkaus,FI,2022-01-30 16:16:22,62.3153,27.873,23.11,95,100,7.7
218,Vestmanna,FO,2022-01-30 16:16:22,62.1564,-7.1664,34.72,93,100,10.36
219,Tolaga Bay,NZ,2022-01-30 16:16:23,-38.3667,178.3,60.01,92,10,7.29
220,Ormara,PK,2022-01-30 16:16:23,25.2088,64.6357,73.33,79,0,16.78
221,Caluquembe,AO,2022-01-30 16:14:40,-13.7833,14.6833,66.4,72,100,7.47
222,Tarapur,IN,2022-01-30 16:16:24,19.85,72.7,70.83,53,0,6.71
223,Bengkulu,ID,2022-01-30 16:16:09,-3.8004,102.2655,76.66,92,100,5.7
224,Sasvad,IN,2022-01-30 16:16:24,18.3333,74.0333,68.63,29,0,3.6
225,Merauke,ID,2022-01-30 16:16:25,-8.4667,140.3333,77.4,88,100,5.97
226,San Andres,CO,2022-01-30 16:16:25,12.5847,-81.7006,84.22,61,20,8.05
227,Cidreira,BR,2022-01-30 16:16:26,-30.1811,-50.2056,77.04,57,10,14.99
228,Aloleng,PH,2022-01-30 16:17:26,16.1307,119.7824,77.63,77,11,18.48
