City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
228,Tecolutilla,MX,65.95,few clouds,18.2833,-93.3167,La Campesina
229,Lufilufi,WS,73.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
231,Fukue,JP,45.27,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
233,Cidreira,BR,74.26,overcast clouds,-30.1811,-50.2056,Hotel Castelo
236,Kainantu,PG,60.55,light rain,-6.2887,145.8655,Sylvester buku
237,Ocos,GT,75.0,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
238,Salinas,US,51.69,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
241,Kesinga,IN,72.09,clear sky,20.2,83.2333,Hotel Jayashree
242,Sao Joaquim,BR,64.71,clear sky,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
246,Gisborne,NZ,63.95,few clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
248,San Quintin,MX,54.52,overcast clouds,30.4833,-115.95,Don Eddie's Landing
250,Waipawa,NZ,67.46,few clouds,-41.4122,175.5153,Tora Coastal Walk
252,Progreso,MX,62.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
254,Elat,IL,66.04,few clouds,29.5581,34.9482,Club Hotel Eilat
257,Gat,IL,62.78,clear sky,31.61,34.7642,OlusHome
266,Cleethorpes,GB,55.44,broken clouds,53.5605,-0.0323,Comat Hotel
270,Mahmudia,RO,41.2,overcast clouds,45.0833,29.0833,Hotel Mon Jardin
273,Cabo San Lucas,MX,65.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
278,Gazanjyk,TM,54.25,overcast clouds,39.2446,55.5154,Railway motel
281,Marawi,PH,70.65,overcast clouds,7.9986,124.2928,Derogongan Residence
285,Santa Maria,BR,72.7,scattered clouds,-29.6842,-53.8069,Hotel Morotin
288,Rio Gallegos,AR,50.05,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
294,Carlsbad,US,55.85,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
299,Chuy,UY,70.27,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
